CountryTime,Product,Monitoring Areas,Country,End,Published,Project
Burundi 2020 - 2023,PermaNet 3.0 & Yorkool,"Vumbi, Gashoho",Burundi,2023,0,VectorLink
Rwanda 2020 - 2023,"Interceptor G2, Olyset, PermaNet 3.0, Yahe LN","Karongi, Kicukiro, Burera, & Ruhango",Rwanda,2023,0,VectorLink
Sierra Leone 2020 - 2023,Permanet 3.0 & Olyset,Bo & Moyamba,Sierra,2023,0,VectorLink
Mali 2018-2021,PermaNet 2.0 & Yorkool,"Kita • Kenieba (Kayes Region),",Mali,2021,0,VectorLink
Ghana 2018-2021,Olyset and DawaPlus 2.0,"Nanumba south, and Zabzugu, respectively",Ghana,2021,0,VectorLink
Zambia 2018-2021,PermaNet 2.0 & Olyset,Katete • Lundazi (Eastern Province),Zambia,2021,0,VectorLink
Liberia 2018-2021,DuraNet,Lofa • Grand Gedeh,Liberia,2021,0,VectorLink
Kenya 2018-2021,DawaPlus 2.0 & DuraNet,Busia (Western) • Kwale (Coast) Counties,Kenya,2021,0,VectorLink
Burkina Faso 2019 - 2022,"Interceptor G2, PermaNet 3.0, & Interceptor","Orodara, Banfora, Gaoua",Burkina,2022,0,VectorLink
Madagascar 2018 - 2021,PermaNet2.0 & DawaPlus,Fortu-Dauphin & Farafangana,Madagascar,2021,0,VectorLink
Niger 2018 - 2021,Olyset,Gazaoua & Madaoua,Niger,2021,0,VectorLink
Benin 2017-2020,DawaPlus 2.0 & PermaNet 2.0 & Yorkool,Ketou • Dogbo • Djougou,Benin,2020,0,VectorLink
Burma 2016-2019,DawaPlus 2.0 & PermaNet 2.0,Tamu Township,Burma,2019,0,VectorWorks
DRC 2016-2019,DuraNet/MAGNet & DawaPlus 2.0,Sud-Ubangi • Mongala,DRC,2019,1,VectorWorks
Guinea 2016-2019,PermaNet 2.0,Boffa • Dinguiraye,Guinea,2019,0,
Tanzania (Zanzibar) 2016-2019,Olyset & PermaNet 2.0,Wete • North B,Tanzania,2019,1,VectorWorks
Malawi 2016-2019,Yorkool‚ Royal Sentry,"Mangochi • Kasungu,",Malawi,2019,0,
Nigeria 2015-2018,DawaPlus 2.0,Zamfara • Ebonyi • Oyo,Nigeria,2018,1,VectorWorks
Mozambique 2015-2018,MAGNet & Royal Sentry,Inhambane • Tete • Nampula,Mozambique,2018,1,VectorWorks
Madagascar 2015-2017,PermaNet 2.0,Nosy • Varika • Maintirano • Tulear II • Ankazobe,Madagascar,2017,0,
Zimbabwe 2015-2019,DawaPlus 2.0 and DuraNet,"13 malaria endemic districts in Mashonaland Central and West Provinces,",Zimbabwe,2019,0,
Ethiopia 2015-2018,PermaNet 2.0‚ MAGNet,Oromia • Tigray • SNNP • Amhara,Ethiopia,2018,,
Benin 2014-2017,"(PADNET),LifeNet‚ PermaNet 3.0",Oueme,Benin,2017,,
Madagascar 2013-2015,NetProtect & Yorkool & Royal Sentry,"Ambanja • Morondava • Diego-Suarez • Mandoto • Sakaraha • Toamasina II , Randriamaherijaona",Madagascar,2015,1,
Nigeria 2012-2014,100 denier polyester (PermaNet 2.0® in Zamfara and Nasarawa‚ and DawaPlus 2.0® in Cross River),Zamfara • Nasarawa • Cross River,Nigeria,2014,1,NetWorks
Uganda 2012-2014,"(Care and Repair operational research),PermaNet 2.0‚ Olyset",Eastern,Uganda,2014,1,NetWorks
Angola 2011-2014,DawaPlus 2.0,Kwanza Sul and Uije Provinces,Angola,2014,0,CDC
Benin 2011-2013,Olyset,Kessounou • Allada • Kandi • Malanville,Benin,2013,1,CDC
Madagascar 2011-2015,Yorkool‚ Royal Sentry‚ NetProtect,Toamasinall/Morondava • Mandoto/Sakaraha • Ambanja/Diego,Madagascar,2015,0,
Zambia 2011,PermaNet 2.0 & Olyset,Luapula & Northern,Zambia,2011,1,
Rwanda 2010-2013,Olyset and PermaNet 2.0,Masaka (Rusheshe and Cyimo) • Kinazi (Burima and Rutabo) • Bungwe (Bushenye and Bungwe),Rwanda,2013,1,
Senegal 2010-2013,Lifenet‚ Netprotect‚ Olyset‚ PermaNet 2.0‚ DawaPlus 2.0,,Senegal,2013,,
Zambia 2010,PermaNet 2.0,12 districts in Eastern‚ Southern‚ Northern‚ and Copperbelt,Zambia,2010,1,
Kenya 2009-2014,DawaPlus 2.0‚ DuraNet‚ Interceptor‚ NetProtect‚ Olyset‚ PermaNet 2.0‚ PermaNet 3.0,Gem District,Kenya,2014,0,
Malawi 2009-2013,Duranet‚ Interceptor‚ Netprotect‚ Olyset‚ PermaNet 2.0,Chikwawa,Malawi,2013,0,
Mozambique 2008-2011,Olyset and PermaNet 2.0,Nampula,Mozambique,2011,1,
,,,Mozambique,2022,0,New Nets Project
,,,Nigeria,2022,0,New Nets Project
,,,Burkina Faso,2022,0,VectorLink